_id,Link,city,co_active_industries,co_name
644648d4da32c8a9d46018c7,www.detadistilleria.it,Barberino Val d'Elsa,"['Food & Beverage', 'Manufacturing']",Distilleria Deta
644648eeda32c8a9d460192d,www.silvani.com,Guanzate,"['Industrial Machinery & Equipment', 'Manufacturing']",Silvani
64464908da32c8a9d460198e,www.impresaluiginotari.com,Milano,"['Chemicals & Related Products', 'Manufacturing']",Impresa Luigi Notari SpA
64464908da32c8a9d4601995,www.fildrop.it,Carmignano,"['Industrial Machinery & Equipment', 'Manufacturing']",Fildrop
64464908da32c8a9d46019a0,www.fcmutensili.it,Tavernerio,"['Industrial Machinery & Equipment', 'Manufacturing']",FCM Utensili
64464915da32c8a9d46019c2,www.enessere.com,Brendola,"['Industrial Machinery & Equipment', 'Manufacturing']",Enessere
64464915da32c8a9d46019ce,www.fraste.com,Nogara,"['Industrial Machinery & Equipment', 'Manufacturing']",Fraste
64464915da32c8a9d46019d3,www.cothree.it,Arcore,"['Plastic', 'Packaging & Containers', 'Manufacturing']",CO3
6446492bda32c8a9d4601a1a,www.autodemolizionepollini.it,Bedizzole,"['Manufacturing', 'Motor Vehicles']",Autodemolizione Pollini
64464931da32c8a9d4601a36,www.energyservice2005.it,Not Defined,"['Electronics', 'Manufacturing']",Energy Service
64464945da32c8a9d4601a89,www.energybruciatori.com,Collegno,"['Building Materials', 'Manufacturing']",Energy Bruciatori Industriali
6446497bda32c8a9d4601b5c,www.puntogas.it,Albano Laziale,"['Manufacturing', 'Motor Vehicles']",Puntogas
64464995da32c8a9d4601bba,www.tmrecycling.it,Castiglione in Teverina,"['Industrial Machinery & Equipment', 'Manufacturing']",TMR Recycling
64464995da32c8a9d4601bc6,www.montemucrone.com,Verrone,"['Manufacturing', 'Textiles & Apparel']",Monte Mucrone
644649a4da32c8a9d4601bf0,www.newenergycarburanti.it,Patrica,"['Manufacturing', 'Electricity', 'Oil & Gas']",New Energy Carburanti
644649a4da32c8a9d4601bf2,www.cnim.it,Rome,"['Industrial Machinery & Equipment', 'Manufacturing']",CNIM - Certificazione Sicurezza Manutenzione
644649b3da32c8a9d4601c19,www.valsir-recycling.it,Not Defined,"['Manufacturing', 'Chemicals & Related Products']",Valsir Recycling Division
644649bada32c8a9d4601c39,www.eurekagasepower.it,Not Defined,"['Manufacturing', 'Retail']",Eureka Gas & Power
644649c2da32c8a9d4601c50,www.alumec.com,Rudiano,"['Manufacturing', 'Plastic', 'Packaging & Containers']",Alumec
644649c2da32c8a9d4601c54,www.greenvisionambiente.it,Verona,"['Manufacturing', 'Waste Treatment', 'Environmental Services & Recycling']",Greenvision ambiente SpA
644649c2da32c8a9d4601c62,www.diemme-spa.com,Lugo,"['Industrial Machinery & Equipment', 'Manufacturing']",Diemme SpA
644649d1da32c8a9d4601c83,www.service-tech.eu,Lugagnano Di Sona,"['Industrial Machinery & Equipment', 'Manufacturing']",Service Tech
64464a1eda32c8a9d4601d92,www.selectadigital.it,Milano,"['Manufacturing', 'Waste Treatment', 'Environmental Services & Recycling']",Selecta Digital
64464a25da32c8a9d4601da0,www.acusticaumbra.it,Perugia,"['Manufacturing', 'Medical Devices & Equipment']",Acustica Umbra
64464a2dda32c8a9d4601dce,www.amperespa.it,Milan,"['Plastic', 'Packaging & Containers', 'Manufacturing']",Ampere
64464a35da32c8a9d4601ddb,www.palladioimpianti.com,Longare,"['Industrial Machinery & Equipment', 'Manufacturing']",Palladio Impianti
